PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p.2017-11-18.19-59-48,0,sample,20.277441,4.0,4.0358386
p.2017-11-18.19-59-48,1,PieChart,9.569412,10.0,-0.84791327
p.2017-11-18.19-59-48,2,sample,11.55227,18.0,2.716493
p.2017-11-18.19-59-48,3,PieChart,6.3986096,8.0,0.7877587
p.2017-11-18.19-59-48,4,sample,16.001385,8.0,3.0226138
p.2017-11-18.19-59-48,5,PieChart,10.630371,15.0,2.168202
p.2017-11-18.20-11-4,0,sample,15.504391,8.0,2.9315677
p.2017-11-18.20-11-4,1,PieChart,13.844562,12.0,0.9778745
p.2017-11-18.20-11-4,2,sample,10.6813345,8.0,1.488687
p.2017-11-18.20-11-4,3,PieChart,9.857584,15.0,2.3970954
p.2017-11-18.20-11-4,4,sample,14.5571165,8.0,2.7403052
p.2017-11-18.20-11-4,5,PieChart,13.268963,12.0,0.4791921
p.2017-11-18.20-5-40,0,sample,11.05676,10.0,0.24093688
p.2017-11-18.20-5-40,1,PieChart,5.0494976,5.0,-2.5187209
p.2017-11-18.20-5-40,2,sample,10.474229,13.0,1.4064121
p.2017-11-18.20-5-40,3,PieChart,10.791286,15.0,2.115604
p.2017-11-18.20-5-40,4,sample,10.474491,60.0,5.6337366
p.2017-11-18.20-5-40,5,PieChart,12.575751,10.0,1.4333608
p.2017-11-20.12-15-0,0,sample,9.898946,12.5,1.4468142
p.2017-11-20.12-15-0,1,PieChart,13.542797,12.5,0.22378963
p.2017-11-20.12-15-0,2,sample,7.6399584,8.0,-1.0438195
p.2017-11-20.12-15-0,3,PieChart,7.5124917,5.0,1.3991666
p.2017-11-20.12-15-0,4,sample,12.31136,10.0,1.2847275
p.2017-11-20.12-15-0,5,PieChart,7.7151203,7.0,-0.25133213
p.2017-11-20.12-33-11,0,sample,9.956495,10.0,-2.569139
p.2017-11-20.12-33-11,1,PieChart,16.879871,17.0,-2.028389
p.2017-11-20.12-33-11,2,sample,6.603901,12.0,2.4649553
p.2017-11-20.12-33-11,3,PieChart,9.924562,7.0,1.6086023
p.2017-11-20.12-33-11,4,sample,6.7687473,14.0,2.878971
p.2017-11-20.12-33-11,5,PieChart,11.435429,8.0,1.8320508
